rank,pair,token_x_mint,token_y_mint,non_wsol_mint,non_wsol_symbol,active_id,target_bin_id,bin_step,status,target_bin_array,target_bin_array_index,target_bin_index,wsol_side,target_bin_amount_x,target_bin_amount_y,target_bin_liquidity_supply,target_bin_open_order_amount,target_bin_is_empty,reserve_x_ui_amount,reserve_y_ui_amount,wsol_reserve_ui_amount,estimated_tvl_usdc,active_price_y_per_x,fair_price_y_per_x,implied_wsol_usdc_price,reference_wsol_usdc_price,wsol_discount_bps,wsol_is_cheap_for_arbers,token_volume_24h_usd
26,4vRF8EbJHFPHfEF3j2zZwXcAypnmcUcuep3UX7gEthTz,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,So11111111111111111111111111111111111111112,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,141,140,125,0,DCBg1tvnsk8Ld1KJNd7iArvj2VJyDbWvyhoWs4f1N7NF,2,0,y,0,0,0,0,true,473.117178000000,0.165181030000,0.165181030000,29.792986,0.005692518676,0.001285838611,20.370696,90.182832,-7741,true,204072.838182
27,4rqqTnGAuDGnmhw7oJQ5cStWCYsA6x6ZxZcx8NXvx9xa,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,So11111111111111111111111111111111111111112,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,-559,-560,100,0,6YhmtVB4M6vogwji1RZaCNJsY6C7rK6tBAorzob1QXB8,-8,0,y,0,0,0,0,true,52.935739447000,0.269033875000,0.269033875000,48.524474,0.003802162566,0.000890196158,21.114408,90.182832,-7659,true,272.629561
28,6JWqGLA9MfY5C26x1XBnwgBj1mpqv7YGfKLT1cvixcTz,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,So11111111111111111111111111111111111111112,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,PRCL,-332,-333,10,0,z81c7SMP3Aagd4vvyq2hNnWNNfu94oR6B35QMXch8Nt,-5,17,y,0,0,0,0,true,37.802607000000,0.010485383000,0.010485383000,1.891203,0.000716889467,0.000168158403,21.153890,90.182832,-7654,true,19178.400823
29,AQ9g76zB2KzkDbPuH4EyTQmaeVDRdeX5UMUrknCHYjFk,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,So11111111111111111111111111111111111111112,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,137,136,125,0,u3kgd9dTfhnRDNEed1shYRXV4mauYUFZ1WcxwWs344o,1,66,y,0,0,0,0,true,1365.807114000000,0.012417234000,0.012417234000,2.239643,0.005416569708,0.001285838611,21.408488,90.182832,-7626,true,204072.838182
30,3Qv4eH8Zm87Y4J6aeWnsoXaKtUYNNJfs6W2oAf4TWTHL,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,So11111111111111111111111111111111111111112,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,DRIFT,139,138,100,0,5YAr3AedXjKQZkghdAECBSHr5L6PzyAazZgUKHeqMdmb,1,68,y,0,0,0,0,true,10.058178000000,0.042589015000,0.042589015000,7.681596,0.003947749453,0.000942944442,21.540729,90.182832,-7611,true,30231.600730
31,9XFpDNxLSmnNKAT2Vrm8T2KEX71LTUe13oEBJTE3fPk6,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,So11111111111111111111111111111111111111112,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,-563,-564,100,0,GUnQZtd4CsAZNXkzmUaAJRtBYPMTCjLUTQa96bvY7Gya,-9,66,y,0,0,0,0,true,42.274316852000,0.165916413000,0.165916413000,29.925624,0.003653803493,0.000890196158,21.971737,90.182832,-7564,true,272.629561
32,6jjGocGMvwtzXkUT1aA8S7XuyaGcaR17ZKiL1eqBJ9on,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,So11111111111111111111111111111111111111112,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,3320,3319,10,0,F8pnGUpYPgbqfzjuDhSg6JEdhVPYQ2UZeHB42p5CinJY,47,29,y,0,0,0,0,true,4.473990000000,0.122307923000,0.122307923000,22.060150,0.027586916087,0.007010871073,22.918843,90.182832,-7459,true,6471273.865592
33,7GeCPxEeoJMidLa7kS9tLdEvmRiJyoNsYJMYizeYiuqr,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,So11111111111111111111111111111111111111112,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,-2834,-2835,20,0,kG3uZpC9dJhters7BzV3eYCcmQU9KFdsub9bGA7BnJ4,-41,35,y,0,0,0,0,true,4832.163730153000,1.998899267000,1.998899267000,360.532795,0.003467444025,0.000890196158,23.152619,90.182832,-7433,true,272.629561
34,7Rb5YQxmAvewBxaYrEGjKtqRaVNnRAhvwtxKstfZ9RAK,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,So11111111111111111111111111111111111111112,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,2Z,-1714,-1715,20,0,3WvkGWLgmGHFHTnd7n7UZrLVuDMhefzXRyzeuk3uveGF,-25,35,y,0,0,0,0,true,0.000000080000,0.030291973000,0.030291973000,5.463632,0.003249807031,0.000868547940,24.102389,90.182832,-7327,true,519913.818218
35,8tHE4ufDrbouRBo1xwi7dFaMRH61wXa2BCSE326cvDTY,So11111111111111111111111111111111111111112,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,593,594,75,0,5VNB41jMDM3ag5rUNrjsd9ipKuvkqMeTTHiLSZbpBE4J,8,34,x,0,0,0,0,true,0.393403448000,96.355945648000,0.393403448000,70.956474,84.637447810560,303.659048621152,25.136234,90.182832,-7213,true,101696.854574
36,7DGMZ7zTy1jNVB2vUp8VAUnp4VqnKLGktEGRYRnegJax,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,So11111111111111111111111111111111111111112,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,2Z,-350,-351,100,0,BURddbi7xtNDL9P913eKzNarMv8c9Ldyy4pDzgA5jpYC,-6,69,y,0,0,0,0,true,0.961593520000,0.058020948000,0.058020948000,10.464987,0.003042270332,0.000868547940,25.746599,90.182832,-7145,true,519913.818218
37,8KRxaR5tybokp3t3szCXcGFofub4iqsXkUQLWc9nacwK,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,So11111111111111111111111111111111111111112,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,2Z,-443,-444,80,0,Co5UWapnDkaFgUkD5w9UBZPS3MwFNVg81v3rZHymPMnE,-7,46,y,0,0,0,0,true,3.244831340000,0.012760401000,0.012760401000,2.301538,0.002907526913,0.000868547940,26.939772,90.182832,-7013,true,519913.818218
