rank,pair,token_x_mint,token_y_mint,non_wsol_mint,non_wsol_symbol,active_id,bin_step,status,active_bin_array,active_bin_array_index,active_bin_index,wsol_side,active_bin_amount_x,active_bin_amount_y,active_bin_liquidity_supply,active_bin_open_order_amount,active_bin_is_empty,reserve_x_ui_amount,reserve_y_ui_amount,wsol_reserve_ui_amount,estimated_tvl_usdc,active_price_y_per_x,fair_price_y_per_x,implied_wsol_usdc_price,reference_wsol_usdc_price,wsol_discount_bps,token_volume_24h_usd
18,4qwxNaHk6LFaLJ2c4mMAVnpQt8uJmRSrj5WnDsT6x1q1,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,So11111111111111111111111111111111111111112,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,PENGUIN,-73,80,0,BxkQtTQU6DBGRNA7oCmscq5fehDJ33nHpCRUYS3vhBw8,-2,67,y,0,0,0,0,true,100.483135000000,0.090517811000,0.090517811000,16.326305,0.000558960548,0.000053736169,8.669807,90.182832,-9039,1329287.133287
19,Ceek3BsxMGR5tug7GB7xRG4g9SSrmb1x9b2HyeXFs7i3,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2,So11111111111111111111111111111111111111112,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2,aura,-2,125,0,75DHkrrxrwDSCfzzi3HqaXUDQVfJ1tngpZimFy61eujA,-1,68,y,0,0,0,0,true,6.580951000000,0.008709343000,0.008709343000,1.570866,0.000975461058,0.000095610267,8.839312,90.182832,-9020,683236.387113
20,7TY1m28Es8yuMVBvirmA1ypnCYG8zM52c4APSTBBxjmd,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,So11111111111111111111111111111111111111112,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,CHILLGUY,-5,125,0,9iyWyVf6fNhJY934YsGYqPbY6pzBmn1T2SXC7sKK1VkM,-1,65,y,0,0,0,0,true,289.586284000000,0.068952373000,0.068952373000,12.436641,0.000939777062,0.000093709086,8.992506,90.182832,-9003,204010.874585
21,EuNKoU3mGaHivvvp2xgdvxQpMKrBywj31PNew3Hx3pHf,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,So11111111111111111111111111111111111111112,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,MELANIA,316,80,0,2SKwTvz4tkn2oaYn5Djv5E8PoizoZA6n47DS6gP4Jnvn,4,36,y,0,0,0,0,true,82.144321000000,0.021291270000,0.021291270000,3.840214,0.012403040066,0.001285532842,9.347143,90.182832,-8964,140302.512301
22,4fBUZDPhTkAo3hvc4QC8ubx6gRHMmixFvjHXt7bB3TAD,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,So11111111111111111111111111111111111111112,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,GRIFFAIN,-22,10,0,DY9JZeGTvcf6kZcMBq27yWw4EZNU9BMaDiYZM4k1NXmu,-1,48,y,0,0,0,0,true,5.962733000000,0.005851323000,0.005851323000,1.055378,0.000978250989,0.000103352546,9.527847,90.182832,-8943,163645.748558
23,oxQHbA4tMxenSjGcu2MBfYoRsLZ9SbxnNF68wBQpmjU,74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,So11111111111111111111111111111111111111112,74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,swarms,-34,125,0,t8XGhLxWmMvQ6idzojZR8BetKiQyfqtriuwpPNeuXqW,-1,36,y,0,0,0,0,true,130.185042000000,0.171617720000,0.171617720000,30.953944,0.000655494294,0.000071385784,9.821248,90.182832,-8911,241714.796564
24,7JhWoZMEMFnWKjLaKNLHZA8owqcc5tZUkcw1uYioVk2n,So11111111111111111111111111111111111111112,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,MELANIA,-2435,10,0,5XBMmaB4FRfnHiYJxvrzXY2SGbRmJEScHSLMzqcGEFh4,-35,15,x,0,0,0,0,true,0.147408688000,7.018669000000,0.147408688000,26.587466,87.704391121406,777.887555297540,10.167833,90.182832,-8873,140302.512301
25,4HcwAWSFDwoPuD1zEwnv9P1hnYcWg9Rrz7nrmV3idjKs,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,So11111111111111111111111111111111111111112,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,MELANIA,122,200,0,56MMW9UfJ6cTEQMXn4Bptc7EytwbY3boFwaWHWKeP9r5,1,52,y,0,0,0,0,true,4.851152000000,0.011723340000,0.011723340000,2.114488,0.011200075621,0.001285532842,10.351090,90.182832,-8852,140302.512301
26,9H3dkdZd4XConVuC1MzHSpxzd3URZabJzroMwSqFL1Sv,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,So11111111111111111111111111111111111111112,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,PENGUIN,-96,80,0,DZXeMQPY8bs6Fxo2ofuqkCgKWvAkJzGLHb78BLaxVPLN,-2,44,y,0,0,0,0,true,10.676642000000,0.014596346000,0.014596346000,2.632680,0.000465359857,0.000053736169,10.413618,90.182832,-8845,1329287.133287
27,5CqyhAvKFxkpBNNAMRBcnen7LWoWgnrtRSiBnju8feAB,GMvCfcZg8YvkkQmwDaAzCtHDrrEtgE74nQpQ7xNabonk,So11111111111111111111111111111111111111112,GMvCfcZg8YvkkQmwDaAzCtHDrrEtgE74nQpQ7xNabonk,1,-47,400,0,5DgafE89mFYbkrqdVEZvY7wFcMRES79app66ipeDtHBs,-1,23,y,0,0,0,0,true,170.055618000000,0.020742086000,0.020742086000,3.741160,0.000158282555,0.000018867362,10.749840,90.182832,-8808,152425.671424
